Item#,TaskId,Hash,Type,MethodName,Message,StackTrace,Time,AllMessage
"130","00000000-0000-0000-0000-000000000000","92b5189e","LOG ERROR","","Web http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll does not returns 404\r\nMicrosoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry(Action logicToRetry, Int32 retryCount, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.Is404Page(String pageUrl)","","10/26/2018 9:54:42 AM",""
"131","00000000-0000-0000-0000-000000000000","fc9acd98","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException","Create(WebException e)","","   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry(Action logicToRetry, Int32 retryCount, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.Is404Page(String pageUrl)","10/26/2018 9:54:42 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry(Action logicToRetry, Int32 retryCount, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.Is404Page(String pageUrl)"
"132","00000000-0000-0000-0000-000000000000","8280f04e","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException","Create(WebException e)","","   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:42 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
"133","00000000-0000-0000-0000-000000000000","92b5189e","LOG ERROR","","Try to load the web page\r\nMicrosoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","","10/26/2018 9:54:42 AM",""
"134","00000000-0000-0000-0000-000000000000","8280f04e","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException","Create(WebException e)","","   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:42 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
"135","00000000-0000-0000-0000-000000000000","8280f04e","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException","Create(WebException e)","","   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:42 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
"136","00000000-0000-0000-0000-000000000000","92b5189e","LOG ERROR","","Try to load the web page\r\nMicrosoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","","10/26/2018 9:54:42 AM",""
"137","00000000-0000-0000-0000-000000000000","8280f04e","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException","Create(WebException e)","","   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:42 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
"138","00000000-0000-0000-0000-000000000000","8280f04e","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException","Create(WebException e)","","   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:43 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
"139","00000000-0000-0000-0000-000000000000","8280f04e","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException","Create(WebException e)","","   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:43 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
"140","00000000-0000-0000-0000-000000000000","fc9acd98","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException","Create(WebException e)","","   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry(Action logicToRetry, Int32 retryCount, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.Is404Page(String pageUrl)","10/26/2018 9:54:43 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry(Action logicToRetry, Int32 retryCount, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.Is404Page(String pageUrl)"
"141","00000000-0000-0000-0000-000000000000","92b5189e","LOG ERROR","","Try to load the web page\r\nMicrosoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (401) Unauthorized.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry(Action logicToRetry, Int32 retryCount, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.Is404Page(String pageUrl)","","10/26/2018 9:54:43 AM",""
