Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btcdljm_1.png","/menu-files/btcdljm_1.png","btcdljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","0e282313-6f80-5288-bdd5-454b772267e1","0e282313-6f80-5288-bdd5-454b772267e1","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btddljm_0.png","/menu-files/btddljm_0.png","btddljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","17e26c87-3a47-58dd-a0ef-5ae1090341d1","17e26c87-3a47-58dd-a0ef-5ae1090341d1","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btddljm_1.png","/menu-files/btddljm_1.png","btddljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","7605b9dc-2153-5a2d-9a21-d5d08a10173d","7605b9dc-2153-5a2d-9a21-d5d08a10173d","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btgcljm_0.png","/menu-files/btgcljm_0.png","btgcljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","1939f130-cbd8-5f29-a0f3-315570b73e2e","1939f130-cbd8-5f29-a0f3-315570b73e2e","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btgcljm_1.png","/menu-files/btgcljm_1.png","btgcljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","31e8b91e-ada9-5c12-a87f-cd80fde521ff","31e8b91e-ada9-5c12-a87f-cd80fde521ff","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\bthcljm_0.png","/menu-files/bthcljm_0.png","bthcljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","0ba2dea7-a14c-54fe-bb26-8ffd8454626b","0ba2dea7-a14c-54fe-bb26-8ffd8454626b","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\bthcljm_1.png","/menu-files/bthcljm_1.png","bthcljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","3dce04d1-8c5e-5a12-9ee1-9eb938496844","3dce04d1-8c5e-5a12-9ee1-9eb938496844","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btidljm_0.png","/menu-files/btidljm_0.png","btidljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","0441644c-34fa-5de3-9427-ea3f665bae09","0441644c-34fa-5de3-9427-ea3f665bae09","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btidljm_1.png","/menu-files/btidljm_1.png","btidljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","0e895f0e-d45d-55bf-bf34-3422207cb16b","0e895f0e-d45d-55bf-bf34-3422207cb16b","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btjcljm_0.png","/menu-files/btjcljm_0.png","btjcljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","804e9e65-d16a-5463-9cd8-2987fab90381","804e9e65-d16a-5463-9cd8-2987fab90381","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btjcljm_1.png","/menu-files/btjcljm_1.png","btjcljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","f5cd0f8d-9161-5dcf-9c08-0f1f85ee104d","f5cd0f8d-9161-5dcf-9c08-0f1f85ee104d","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btkcljm_0.png","/menu-files/btkcljm_0.png","btkcljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","0e8c2e7c-9edc-529d-979a-177a9eb08bd6","0e8c2e7c-9edc-529d-979a-177a9eb08bd6","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btkcljm_1.png","/menu-files/btkcljm_1.png","btkcljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","a6c236a9-b669-56c9-8f61-7a4c9a1a7e99","a6c236a9-b669-56c9-8f61-7a4c9a1a7e99","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btmdljm_0.png","/menu-files/btmdljm_0.png","btmdljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","9f041c8b-d79a-5283-9368-32df7be6ea3c","9f041c8b-d79a-5283-9368-32df7be6ea3c","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btmdljm_1.png","/menu-files/btmdljm_1.png","btmdljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","fad2cbab-89ae-5d01-93bc-2dfc9aa12fac","fad2cbab-89ae-5d01-93bc-2dfc9aa12fac","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btqdljm_0.png","/menu-files/btqdljm_0.png","btqdljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","17a3efc9-78b4-555f-964d-046f5eb82a4d","17a3efc9-78b4-555f-964d-046f5eb82a4d","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btqdljm_1.png","/menu-files/btqdljm_1.png","btqdljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","6a2b793c-fd12-52ab-aa09-82b60ab3d1ef","6a2b793c-fd12-52ab-aa09-82b60ab3d1ef","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanADM_icone.gif","/menu-files/clanADM_icone.gif","clanADM_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","474bd180-7f32-5b98-9960-80756e549732","474bd180-7f32-5b98-9960-80756e549732","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanADM_icone.png","/menu-files/clanADM_icone.png","clanADM_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","5b198afa-a0bd-5db9-9378-9a514ee75706","5b198afa-a0bd-5db9-9378-9a514ee75706","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanalbo_icone.gif","/menu-files/clanalbo_icone.gif","clanalbo_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","fcff7534-9cf5-5d4b-ba1b-284e86115ac4","fcff7534-9cf5-5d4b-ba1b-284e86115ac4","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanalbo_icone.png","/menu-files/clanalbo_icone.png","clanalbo_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","7d51bb8b-a1a4-5f7f-880d-c48ef00c74be","7d51bb8b-a1a4-5f7f-880d-c48ef00c74be","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanasturion_icone.gif","/menu-files/clanasturion_icone.gif","clanasturion_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","633496f4-a155-5fa0-92af-b807f7eaadaf","633496f4-a155-5fa0-92af-b807f7eaadaf","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanasturion_icone.png","/menu-files/clanasturion_icone.png","clanasturion_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","cc014bcc-7ccb-50b5-b3d5-34418a03828c","cc014bcc-7ccb-50b5-b3d5-34418a03828c","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanautres_icone.png","/menu-files/clanautres_icone.png","clanautres_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","a87fcc0f-4ef7-5c83-af30-a5ddb71dd08b","a87fcc0f-4ef7-5c83-af30-a5ddb71dd08b","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanfav_icone.gif","/menu-files/clanfav_icone.gif","clanfav_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","ba245671-207f-5a42-8ad2-4b5edfe48a9d","ba245671-207f-5a42-8ad2-4b5edfe48a9d","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanfav_icone.png","/menu-files/clanfav_icone.png","clanfav_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","b21da0ef-8415-54dc-92b5-8757c49e1a58","b21da0ef-8415-54dc-92b5-8757c49e1a58","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanferemar_icone.gif","/menu-files/clanferemar_icone.gif","clanferemar_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","d6abb357-aedb-5163-b3d4-c8b4762c4515","d6abb357-aedb-5163-b3d4-c8b4762c4515","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanferemar_icone.png","/menu-files/clanferemar_icone.png","clanferemar_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","48cdfb75-25cf-5015-b094-bea69a830d6b","48cdfb75-25cf-5015-b094-bea69a830d6b","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clangnilis_icone.gif","/menu-files/clangnilis_icone.gif","clangnilis_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","1167e906-54e4-5872-b8ba-c87a23d2c038","1167e906-54e4-5872-b8ba-c87a23d2c038","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clangnilis_icone.png","/menu-files/clangnilis_icone.png","clangnilis_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","5def0afe-1d0f-513a-a0cb-b4caa852eaf8","5def0afe-1d0f-513a-a0cb-b4caa852eaf8","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanhador_icone.gif","/menu-files/clanhador_icone.gif","clanhador_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","4f54c68f-2e46-5ac7-91e6-1747ec5684ff","4f54c68f-2e46-5ac7-91e6-1747ec5684ff","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanhador_icone.png","/menu-files/clanhador_icone.png","clanhador_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","6f22d2bc-1284-5f46-a1b1-4dda165d3331","6f22d2bc-1284-5f46-a1b1-4dda165d3331","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clankashtriya_icone.gif","/menu-files/clankashtriya_icone.gif","clankashtriya_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","6a06650c-da18-512a-b0a2-9d05f2fa6ddc","6a06650c-da18-512a-b0a2-9d05f2fa6ddc","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clankashtriya_icone.png","/menu-files/clankashtriya_icone.png","clankashtriya_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","aebfb4e3-93cf-5b0b-ba82-126989002930","aebfb4e3-93cf-5b0b-ba82-126989002930","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanlacordia_icone.gif","/menu-files/clanlacordia_icone.gif","clanlacordia_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","71e43a39-593b-5146-9ce5-c65243b803a4","71e43a39-593b-5146-9ce5-c65243b803a4","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanlacordia_icone.png","/menu-files/clanlacordia_icone.png","clanlacordia_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","7fb67d59-2891-5a91-96f8-0904c2421b5a","7fb67d59-2891-5a91-96f8-0904c2421b5a","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanmaldoror_icone.png","/menu-files/clanmaldoror_icone.png","clanmaldoror_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","1708de95-0c0f-5789-adfb-0959c3ec4554","1708de95-0c0f-5789-adfb-0959c3ec4554","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanorbval_icone.gif","/menu-files/clanorbval_icone.gif","clanorbval_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","c7b8baea-d91e-5a95-ab89-e820c0c2f7a3","c7b8baea-d91e-5a95-ab89-e820c0c2f7a3","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanorbval_icone.png","/menu-files/clanorbval_icone.png","clanorbval_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","37e39161-82b8-5182-af4b-39549d14e15f","37e39161-82b8-5182-af4b-39549d14e15f","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanperceval_icone.gif","/menu-files/clanperceval_icone.gif","clanperceval_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","ea7b45e0-91d9-5f3f-8eeb-3c9438d356cd","ea7b45e0-91d9-5f3f-8eeb-3c9438d356cd","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanperceval_icone.png","/menu-files/clanperceval_icone.png","clanperceval_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","05f64816-e58f-51c0-a927-51dd3f92a165","05f64816-e58f-51c0-a927-51dd3f92a165","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanyanista_icone.gif","/menu-files/clanyanista_icone.gif","clanyanista_icone.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","b644d680-7bf0-591d-bdb7-010bdd8858ce","b644d680-7bf0-591d-bdb7-010bdd8858ce","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\clanyanista_icone.png","/menu-files/clanyanista_icone.png","clanyanista_icone.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","db29a7bc-a0cb-5a30-afde-b4c59c63e0e9","db29a7bc-a0cb-5a30-afde-b4c59c63e0e9","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\fond.jpg","/menu-files/fond.jpg","fond.jpg",".jpg","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","b0f978bf-641f-57fd-a85c-3e8509604136","b0f978bf-641f-57fd-a85c-3e8509604136","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\logotest_Augusta_tr.gif","/menu-files/logotest_Augusta_tr.gif","logotest_Augusta_tr.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","21511917-3ba8-5832-9771-ba162cddd7ad","21511917-3ba8-5832-9771-ba162cddd7ad","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\Menu_blogue.gif","/menu-files/Menu_blogue.gif","Menu_blogue.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","b1021d4e-f70b-5869-adef-a95ebc4af18f","b1021d4e-f70b-5869-adef-a95ebc4af18f","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\Menu_centre.gif","/menu-files/Menu_centre.gif","Menu_centre.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","0c1b20c7-9157-57ff-bad9-484bde0ccef9","0c1b20c7-9157-57ff-bad9-484bde0ccef9","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\Menu_ext_droite.gif","/menu-files/Menu_ext_droite.gif","Menu_ext_droite.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","8ce68c9e-8f03-5de3-b812-a28a577f6349","8ce68c9e-8f03-5de3-b812-a28a577f6349","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\Menu_ext_gauche.gif","/menu-files/Menu_ext_gauche.gif","Menu_ext_gauche.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","82eb4b90-4c14-5875-89a4-2c2b45439459","82eb4b90-4c14-5875-89a4-2c2b45439459","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\Menu_forum.gif","/menu-files/Menu_forum.gif","Menu_forum.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","3f0775c3-cb88-5775-ab96-36b656829cfa","3f0775c3-cb88-5775-ab96-36b656829cfa","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\Menu_joueurs.gif","/menu-files/Menu_joueurs.gif","Menu_joueurs.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","72ce813d-749e-55c5-a6ba-43e41766c040","72ce813d-749e-55c5-a6ba-43e41766c040","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\Menu_joutes.gif","/menu-files/Menu_joutes.gif","Menu_joutes.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","04891c8d-ef10-5410-885a-51621a07ca8e","04891c8d-ef10-5410-885a-51621a07ca8e","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
